Period,Year,Quarter,Coverage,Region,Visits,Spending_£millions,Nights,Spending_per_visit_£,Nights_per_visit
2019 Q1,2019,1,UK,-0.006,,,-0.097,,
2019 Q1,2019,1,UK,0.014,-0.025,,,,
2019 Q1,2019,1,UK,0.073,,-0.075,,,
2019 Q1,2019,1,UK,1928.0,,341.0,,,
2019 Q1,2019,1,UK,4918.0,,818.0,,,
2019 Q1,2019,1,UK,8733.0,,1601.0,,,
2019 Q1,2019,1,UK,10661.0,,1942.0,,,
2019 Q1,2019,1,UK,11123.0,,1755.0,,,
2019 Q1,2019,1,UK,12407.0,,2232.0,,,
2019 Q1,2019,1,UK,28448.0,,4805.0,,,
2019 Q1,2019,1,UK,4500000.0,1086000.0,,,,
2019 Q1,2019,1,UK,5373000.0,900000.0,,,,
2019 Q1,2019,1,UK,8191000.0,1388000.0,,,,
2019 Q1,2019,1,UK,20328000.0,4456000.0,,,,
2019 Q1,2019,1,UK,24828000.0,5543000.0,,,,
2019 Q1,2019,1,UK,27293000.0,6044000.0,,,,
2019 Q1,2019,1,UK,33662000.0,,,7093000.0,,
2019 Q1,2019,1,UK,36859000.0,,,6263000.0,,
2019 Q1,2019,1,UK,40857000.0,8332000.0,,,,
2019 Q1,2019,1,UK,98767000.0,,,18630000.0,,
2019 Q1,2019,1,UK,103597000.0,,,16442000.0,,
2019 Q1,2019,1,UK,132429000.0,,,25723000.0,,
2019 Q1,2019,1,UK,149172000.0,,,27952000.0,,
2019 Q1,2019,1,UK,289628000.0,,,50657000.0,,
2019 Q2,2019,2,UK,-0.006,,,-0.068,,
2019 Q2,2019,2,UK,0.014,-0.015,,,,
2019 Q2,2019,2,UK,0.073,,-0.006,,,
2019 Q2,2019,2,UK,1928.0,,479.0,,,
2019 Q2,2019,2,UK,4918.0,,1462.0,,,
2019 Q2,2019,2,UK,8733.0,,2083.0,,,
2019 Q2,2019,2,UK,10661.0,,2562.0,,,
2019 Q2,2019,2,UK,11123.0,,2470.0,,,
2019 Q2,2019,2,UK,12407.0,,2964.0,,,
2019 Q2,2019,2,UK,28448.0,,6896.0,,,
2019 Q2,2019,2,UK,4500000.0,1085000.0,,,,
2019 Q2,2019,2,UK,5373000.0,1537000.0,,,,
2019 Q2,2019,2,UK,8191000.0,1948000.0,,,,
2019 Q2,2019,2,UK,20328000.0,5187000.0,,,,
2019 Q2,2019,2,UK,24828000.0,6272000.0,,,,
2019 Q2,2019,2,UK,27293000.0,6879000.0,,,,
2019 Q2,2019,2,UK,33662000.0,,,7531000.0,,
2019 Q2,2019,2,UK,36859000.0,,,9621000.0,,
2019 Q2,2019,2,UK,40857000.0,10364000.0,,,,
2019 Q2,2019,2,UK,98767000.0,,,24226000.0,,
2019 Q2,2019,2,UK,103597000.0,,,24620000.0,,
2019 Q2,2019,2,UK,132429000.0,,,31756000.0,,
2019 Q2,2019,2,UK,149172000.0,,,34973000.0,,
2019 Q2,2019,2,UK,289628000.0,,,69214000.0,,
2019 Q3,2019,3,UK,-0.006,,,0.05,,
2019 Q3,2019,3,UK,0.014,0.028,,,,
2019 Q3,2019,3,UK,0.073,,0.094,,,
2019 Q3,2019,3,UK,1928.0,,548.0,,,
2019 Q3,2019,3,UK,4918.0,,1598.0,,,
2019 Q3,2019,3,UK,8733.0,,2622.0,,,
2019 Q3,2019,3,UK,10661.0,,3170.0,,,
2019 Q3,2019,3,UK,11123.0,,3880.0,,,
2019 Q3,2019,3,UK,12407.0,,3715.0,,,
2019 Q3,2019,3,UK,28448.0,,9193.0,,,
2019 Q3,2019,3,UK,4500000.0,1123000.0,,,,
2019 Q3,2019,3,UK,5373000.0,1745000.0,,,,
2019 Q3,2019,3,UK,8191000.0,2963000.0,,,,
2019 Q3,2019,3,UK,20328000.0,5389000.0,,,,
2019 Q3,2019,3,UK,24828000.0,6512000.0,,,,
2019 Q3,2019,3,UK,27293000.0,7156000.0,,,,
2019 Q3,2019,3,UK,33662000.0,,,10983000.0,,
2019 Q3,2019,3,UK,36859000.0,,,12806000.0,,
2019 Q3,2019,3,UK,40857000.0,11864000.0,,,,
2019 Q3,2019,3,UK,98767000.0,,,32264000.0,,
2019 Q3,2019,3,UK,103597000.0,,,39535000.0,,
2019 Q3,2019,3,UK,132429000.0,,,43247000.0,,
2019 Q3,2019,3,UK,149172000.0,,,50442000.0,,
2019 Q3,2019,3,UK,289628000.0,,,102784000.0,,
2019 Q4,2019,4,UK,-0.006,,,0.061,,
2019 Q4,2019,4,UK,0.014,0.064,,,,
2019 Q4,2019,4,UK,0.073,,0.265,,,
2019 Q4,2019,4,UK,1928.0,,560.0,,,
2019 Q4,2019,4,UK,4918.0,,1041.0,,,
2019 Q4,2019,4,UK,8733.0,,2428.0,,,
2019 Q4,2019,4,UK,10661.0,,2988.0,,,
